,IC(1d),IC(5d),IC(10d),IC(20d),Half_Life
obv,-0.05298652633955806,-0.0980639133617608,-0.14119663563116341,-0.20513415529606024,inf
macro_TLT_trend,0.05170790479481526,0.10959813622175096,0.11928433897716009,0.11685967207577296,inf
macro_TLT_ret_10d,0.05104090631482965,0.10489961837737587,0.10255006137170243,0.09809018086726981,inf
dow_cos,0.04775811131277147,0.00674540254222017,0.009658355338472256,0.00956595091197679,3.3289420642736784
ema_26,-0.043774361173486716,-0.09140317172571032,-0.12387300524613236,-0.1761262761704974,inf
sma_5,-0.042194505347250125,-0.09009378172662151,-0.12724648116433757,-0.17611867661769684,inf
ema_12,-0.04206846263196881,-0.08979466871675676,-0.12605306974883176,-0.17627947970061897,inf
sma_10,-0.04185986558156486,-0.08909741449166407,-0.1253434440479337,-0.1763226334859894,inf
macro_TLT_zscore_60d,0.04093004375841861,0.10991731702079194,0.12625270243027165,0.14257141128874298,inf
macro_GLD_vol_20d,0.04082181732031096,0.08362847324874581,0.10087854636566566,0.09569485877202871,inf
bb_upper,-0.040423820932579874,-0.08962702431134292,-0.12899012725507403,-0.18622806339666337,inf
bb_lower,-0.03971893172481008,-0.08754835476704338,-0.1228784053810839,-0.16917227550745856,inf
sma_20,-0.039707175883798025,-0.08800734782254346,-0.12492992767472375,-0.17775749919216466,inf
bb_middle,-0.039707175883798025,-0.08800734782254346,-0.12492992767472375,-0.17775749919216466,inf
ema_50,-0.03965793309432173,-0.0844173709781083,-0.12409195853259847,-0.1858153193188026,inf
sma_50,-0.03827404825016523,-0.08331421387743534,-0.12313740714336037,-0.18312303146348552,inf
sma_200,-0.035712733104435575,-0.07256471614395828,-0.10666629896696925,-0.15660789523903101,inf
atr,-0.034138279583558445,-0.09069194628298446,-0.12159704813648062,-0.1667261851127791,inf
macro_GLD_ret_1d,0.02871607127036824,0.026093409056278764,0.01975523099920906,0.02382582452879727,inf
